DocType: Academic Term,Academic Term,
DocType: Academic Term,Academic Year,
DocType: Academic Year,Academic Year Name,
DocType: Department,Academics User,
DocType: Item Quality Inspection Parameter,Acceptance Criteria,Kritéria prijatia
DocType: Offer Letter,Accepted,Akceptované
apps/erpnext/erpnext/controllers/buying_controller.py +320,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Schválené + Zamítnuté množstvo sa musí rovnat množstvo Prijaté u položky {0}
DocType: Purchase Receipt Item,Accepted Quantity,Schválené Množstvo
DocType: Purchase Invoice Item,Accepted Warehouse,Schválené na sklad
DocType: Hub Settings,Access Token,Prístupový Token
DocType: Account,Account,Účet
DocType: Journal Entry Account,Account Balance,Zostatok na účte
DocType: Bank Reconciliation,Account Currency,Mena účtu
DocType: Purchase Taxes and Charges,Account Head,Hlavička účtu
DocType: Employee Loan,Account Info,
DocType: Account,Account Name,Názov účtu
DocType: Payment Entry,Account Paid From,
DocType: Payment Entry,Account Paid To,
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js +25,Account Pay Only,
DocType: Account,Account Type,Typ účtu
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +146,Account Type for {0} must be {1},
apps/erpnext/erpnext/accounts/doctype/account/account.py +191,Account balance ({0}) and stock value ({1}) must be same,
apps/erpnext/erpnext/accounts/doctype/account/account.py +120,"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Zostatek na účtu už v Credit, nie je povolené stanoviť ""Balance musí být"" jako ""debet"""
apps/erpnext/erpnext/accounts/doctype/account/account.py +118,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Zostatek na účtu už v inkasa, nie je povolené stanoviť ""Balance musí být"" jako ""úveru"""
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +28,Account does not match with Company,Účet nezodpovedá Company
DocType: POS Profile,Account for Change Amount,
DocType: Warehouse,Account for the warehouse (Perpetual Inventory) will be created under this Account.,"Účet pro skladu (priebežné inventarizace), bude vytvorena v rámci tohoto účtu."
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +79,Account head {0} created,Hlava účtu {0} vytvoril
apps/erpnext/erpnext/accounts/doctype/account/account.py +132,Account with child nodes cannot be converted to ledger,Účet s podrízenými uzly nelze prevést na hlavní účetní knihu
apps/erpnext/erpnext/accounts/doctype/account/account.py +102,Account with child nodes cannot be set as ledger,Účet s podriadené uzly nie je možné nastaviť ako hlavnej knihy
apps/erpnext/erpnext/accounts/doctype/account/account.py +142,Account with existing transaction can not be converted to group.,Účet s transakcemi nelze prevést na skupinu.
apps/erpnext/erpnext/accounts/doctype/account/account.py +218,Account with existing transaction can not be deleted,Účet s transakcemi nemôže byť smazán
apps/erpnext/erpnext/accounts/doctype/account/account.py +97,Account with existing transaction cannot be converted to ledger,Účet s transakcemi nelze prevést na hlavní účetní knihu
apps/erpnext/erpnext/setup/doctype/company/company.py +57,Account {0} does not belong to company: {1},Účet {0} nepatrí k firme: {1}
apps/erpnext/erpnext/accounts/doctype/budget/budget.py +47,Account {0} does not belongs to company {1},Účet {0} nie je patria spoločnosti {1}
apps/erpnext/erpnext/accounts/doctype/account/account.py +234,Account {0} does not exist,Účet {0} neexistuje
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +32,Account {0} does not exists,Účet {0} neexistuje
apps/erpnext/erpnext/accounts/doctype/budget/budget.py +54,Account {0} has been entered multiple times,
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +212,Account {0} is frozen,Účet {0} je zmrazen
apps/erpnext/erpnext/controllers/accounts_controller.py +285,Account {0} is invalid. Account Currency must be {1},Účet {0} je neplatná. Mena účtu musí byť {1}
apps/erpnext/erpnext/accounts/doctype/account/account.py +53,Account {0}: Parent account {1} can not be a ledger,Účet {0}: Nadrazený účet {1} nemôže byť hlavní kniha
apps/erpnext/erpnext/accounts/doctype/account/account.py +55,Account {0}: Parent account {1} does not belong to company: {2},Účet {0}: Nadrazený účet {1} nepatrí ke spoločnosti: {2}
apps/erpnext/erpnext/accounts/doctype/account/account.py +49,Account {0}: Parent account {1} does not exist,Účet {0}: Nadrazený účet {1} neexistuje
apps/erpnext/erpnext/accounts/doctype/account/account.py +51,Account {0}: You can not assign itself as parent account,Účet {0}: nelze priradit sebe jako nadrazený účet
apps/erpnext/erpnext/accounts/general_ledger.py +111,Account: {0} can only be updated via Stock Transactions,Účet: {0} lze aktualizovať pouze prostrednictvím Skladových Transakcí
apps/erpnext/erpnext/controllers/accounts_controller.py +683,Account: {0} with currency: {1} can not be selected,Účet: {0} s menou: {1} nemožno vybrať
apps/erpnext/erpnext/public/js/setup_wizard.js +210,Accountant,Účetní
DocType: Purchase Invoice Item,Accounting,Účtovnícto
DocType: Sales Invoice,Accounting Details,Účtovné podrobnosti
DocType: Journal Entry,Accounting Entries,Účtovné záznamy
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +197,Accounting Entry for Stock,Účetní položka na sklade
apps/erpnext/erpnext/accounts/party.py +231,Accounting Entry for {0}: {1} can only be made in currency: {2},Účtovný záznam pre {0}: {1} môžu vykonávať len v mene: {2}
apps/erpnext/erpnext/buying/doctype/supplier/supplier.js +36,Accounting Ledger,Účtovná kniha
apps/erpnext/erpnext/config/accounts.py +107,Accounting Statements,Účtovné výkazy
apps/erpnext/erpnext/accounts/party.py +250,Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,"Položky účtovníctva už boli vykonané v mene, {0} pre firmu {1}. Vyberte pohľadávky a záväzku účet s menou {0}."
DocType: Accounts Settings,"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Účetní záznam zmrazeny až do tohoto data, nikdo nemôže delat / upraviť položku krome role uvedené níže."
apps/erpnext/erpnext/config/accounts.py +61,Accounting journal entries.,Zápisy v účetním deníku.
DocType: Account,Accounts,Účty
DocType: Accounts Settings,Accounts Frozen Upto,Účty Frozen aľ
DocType: Account,Accounts Manager,Accounts Manager
DocType: Journal Entry,Accounts Payable,Účty za úplatu
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +58,Accounts Payable Summary,Splatné účty Shrnutí
DocType: Journal Entry,Accounts Receivable,Pohľadávky
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js +59,Accounts Receivable Summary,Pohľadávky zhrnutie
DocType: Accounts Settings,Accounts Settings,Nastavenia účtov
DocType: Account,Accounts User,Používateľ Účtov
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +533,Accounts table cannot be blank.,
DocType: Account,Accumulated Depreciation,
DocType: Asset Category Account,Accumulated Depreciation Account,
DocType: Depreciation Schedule,Accumulated Depreciation Amount,
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py +149,Accumulated Depreciation as on,
apps/erpnext/erpnext/accounts/doctype/budget/budget.py +114,Accumulated Monthly,
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.js +10,Accumulated Values,
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +177,Accural Journal Entry Submitted,
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +271,Accural Journal Entry for salaries from {0} to {1},
apps/erpnext/erpnext/selling/report/sales_person_target_variance_item_group_wise/sales_person_target_variance_item_group_wise.py +51,Achieved,Dosiahnutá
DocType: Student Log,Achievement,
DocType: Vehicle,Acquisition Date,
DocType: Budget,Action if Accumulated Monthly Budget Exceeded,
DocType: Budget,Action if Annual Budget Exceeded,
DocType: Employee,Active,Aktívny
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.py +31,Active Leads / Customers,Aktívny Leads / Zákazníci
DocType: Activity Cost,Activity Cost,Časové náklady na činnosť
apps/erpnext/erpnext/projects/doctype/activity_cost/activity_cost.py +29,Activity Cost exists for Employee {0} against Activity Type - {1},Existuje Náklady aktivity pre zamestnancov {0} proti Typ aktivity - {1}
apps/erpnext/erpnext/projects/doctype/activity_type/activity_type.js +3,Activity Cost per Employee,Náklady na činnosť na jedného zamestnanca
DocType: Process Payroll,Activity Log,Aktivita Log
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.js +89,Activity Log:,Aktivita Log:
DocType: Activity Cost,Activity Type,Druh činnosti
DocType: Purchase Taxes and Charges,Actual,Aktuální
DocType: Maintenance Schedule Detail,Actual Date,Skutočný dátum
DocType: Production Order,Actual End Date,Skutečný dátum ukončenia
DocType: Task,Actual End Date (via Time Sheet),
DocType: Production Order Operation,Actual End Time,Aktuální End Time
DocType: Production Order,Actual Operating Cost,Skutočné provozní náklady
DocType: Production Order Operation,Actual Operation Time,Aktuální Provozní doba
DocType: Quotation Item,Actual Qty,Skutočné množstvo
DocType: Stock Entry Detail,Actual Qty (at source/target),Skutočné množstvo (u zdroje/cíle)
DocType: Stock Ledger Entry,Actual Qty After Transaction,Skutočné množstvo po transakcii
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +57,Actual Qty is mandatory,Skutočné Množstvo je povinné
DocType: Bin,Actual Quantity,Skutočné Množstvo
DocType: Production Order,Actual Start Date,Skutočné datum zahájení
DocType: Task,Actual Start Date (via Time Sheet),
DocType: Production Order Operation,Actual Start Time,Skutečný čas začátku
DocType: Project,Actual Time (in Hours),Skutočná doba (v hodinách)
DocType: Task,Actual Time (in hours),Skutočná doba (v hodinách)
DocType: Production Order Operation,Actual Time and Cost,Skutočný čas a náklady
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +166,Actual type tax cannot be included in Item rate in row {0},Aktuálny typ daň nemôže byť zahrnutý v cene Položka v riadku {0}
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html +25,Acutal Qty {0} / Waiting Qty {1},
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js +51,Acutal qty in stock,Aktuálne množstvo na sklade
DocType: Purchase Taxes and Charges,Add,Pridať
apps/erpnext/erpnext/stock/doctype/item/item.js +249,Add / Edit Prices,Pridať / Upraviť ceny
DocType: Purchase Receipt,Add / Edit Taxes and Charges,Pridat / Upraviť dane a poplatky
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js +371,Add Employees,
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js +105,Add Item,Pridať položku
apps/erpnext/erpnext/public/js/utils/item_selector.js +12,Add Items,Pridať položky
DocType: Email Digest,Add Quote,Pripojiť citát
apps/erpnext/erpnext/public/js/utils.js +39,Add Serial No,Pridat Sériové číslo
apps/erpnext/erpnext/utilities/activation.py +118,Add Students,
apps/erpnext/erpnext/public/js/setup_wizard.js +221,Add Taxes,Pridajte dane
apps/erpnext/erpnext/utilities/activation.py +109,Add Timesheets,
apps/erpnext/erpnext/public/js/setup_wizard.js +189,Add Users,Pridať užívateľa
apps/erpnext/erpnext/public/js/setup_wizard.js +318,Add a few sample records,Pridať niekoľko ukážkových záznamov
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +869,Add items from,Pridať položky z
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js +166,Add more items or open full form,Pridať viac položiek alebo upravovať celý formulár
DocType: Purchase Taxes and Charges,Add or Deduct,Pridať alebo Odpočítať
apps/erpnext/erpnext/utilities/activation.py +101,Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,
apps/erpnext/erpnext/templates/generators/item.html +62,Add to Cart,Pridať do košíka
apps/erpnext/erpnext/support/doctype/issue/issue.js +24,Add to Knowledge Base,
DocType: Lead,Add to calendar on this date,Pridať do kalendára k tomuto dátumu
DocType: Leave Allocation,Add unused leaves from previous allocations,Pridať nevyužité listy z predchádzajúcich prídelov
apps/erpnext/erpnext/public/js/setup_wizard.js +190,"Add users to your organization, other than yourself","Pridanie používateľov do vašej organizácie, iných ako vy"
DocType: Email Digest,Add/Remove Recipients,Pridať / Odobrať príjemcov
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html +23,Added,Pridané
apps/erpnext/erpnext/public/js/utils/item_selector.js +58,Added {0} ({1}),Pridané: {0} ({1})
DocType: Landed Cost Voucher,Additional Charges,
DocType: Stock Entry Detail,Additional Cost,Dodatočné náklady
DocType: Stock Entry,Additional Costs,Dodatočné náklady
DocType: Vehicle,Additional Details,
DocType: Purchase Invoice,Additional Discount,Ďalšie zľavy
DocType: Purchase Invoice,Additional Discount Amount,Dodatočná zľava Suma
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),Dodatočná zľava Suma (Mena Company)
DocType: Purchase Invoice,Additional Discount Percentage,Ďalšie zľavy Percento
DocType: Production Order,Additional Operating Cost,Další provozní náklady
DocType: Customer,Additional information regarding the customer.,Ďalšie informácie týkajúce sa zákazníka.
DocType: Purchase Invoice,Address,Adresa
DocType: Lead,Address & Contact,Adresa a kontakt
DocType: Sales Partner,Address & Contacts,Adresa a kontakty
DocType: Lead,Address Desc,Popis adresy
DocType: Supplier,Address HTML,Adresa HTML
DocType: Student,Address Line 1,Adresa riadok 1
DocType: Student,Address Line 2,Adresa riadok 2
DocType: Purchase Invoice,Address and Contact,Adresa a Kontakt
DocType: Supplier,Address and Contacts,Adresa a kontakty
apps/erpnext/erpnext/hooks.py +95,Addresses,Adresy
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +91,Administrative Expenses,Administrativní náklady
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +92,Administrative Officer,Správní reditel
DocType: Homepage,Administrator,Správca
apps/erpnext/erpnext/config/schools.py +36,Admission,
DocType: Student Admission,Admission End Date,
DocType: Student Admission,Admission Start Date,
apps/erpnext/erpnext/schools/doctype/student_admission/student_admission.py +26,Admissions for {0},
DocType: Student Applicant,Admitted,
DocType: Purchase Invoice Advance,Advance Amount,Záloha ve výši
DocType: Purchase Order,Advance Paid,Vyplacené zálohy
DocType: Purchase Invoice,Advance Payments,Zálohové platby
DocType: Sales Invoice Advance,Advance amount,
apps/erpnext/erpnext/controllers/taxes_and_totals.py +414,Advance amount cannot be greater than {0} {1},
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +253,"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",
DocType: Purchase Invoice,Advances,Zálohy
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +6,Advertising,Reklama
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +7,Aerospace,Aerospace
DocType: Shopping Cart Settings,After payment completion redirect user to selected page.,
DocType: GL Entry,Against,Proti
DocType: Bank Reconciliation Detail,Against Account,Proti účet
DocType: Quotation Item,Against Docname,Proti Docname
DocType: Quotation Item,Against Doctype,Proti DOCTYPE
DocType: Maintenance Visit Purpose,Against Document Detail No,Proti Detail dokumentu č
DocType: Maintenance Visit Purpose,Against Document No,Proti dokumentu č
DocType: Purchase Invoice,Against Expense Account,Proti výdajového účtu
DocType: Sales Invoice,Against Income Account,Proti účet príjmov
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +162,Against Journal Entry {0} does not have any unmatched {1} entry,Proti vestníku Vstup {0} nemá bezkonkurenční {1} vstupu
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +188,Against Journal Entry {0} is already adjusted against some other voucher,Proti vestníku Entry {0} je už nastavena proti jiným poukaz
DocType: Delivery Note Item,Against Sales Invoice,Proti predajní fakture
DocType: Delivery Note Item,Against Sales Invoice Item,Proti položce vydané faktury
DocType: Delivery Note Item,Against Sales Order,Proti prijaté objednávce
DocType: Delivery Note Item,Against Sales Order Item,Proti položce prijaté objednávky
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +81,Against Supplier Invoice {0} dated {1},Proti fakture dodavatele {0} zo dne {1}
DocType: GL Entry,Against Voucher,Proti poukazu
DocType: GL Entry,Against Voucher Type,Proti poukazu typu
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +60,Age,Vek
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py +44,Age (Days),Staroba (dni)
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +27,Ageing Based On,Stárnutí dle
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +37,Ageing Range 1,Stárnutí Rozsah 1
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +44,Ageing Range 2,Stárnutí rozsah 2
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +51,Ageing Range 3,Stárnutí Rozsah 3
DocType: Sales Partner,Agent,Agent
DocType: Product Bundle,"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials",
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +8,Agriculture,Zemedelstvo
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +9,Airline,Letecká linka
DocType: C-Form,All,Vše
apps/erpnext/erpnext/config/buying.py +53,All Addresses.,Všetky adresy.
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +198,All Assessment Groups,
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +59,All BOMs,
DocType: SMS Center,All Contact,Vše Kontakt
apps/erpnext/erpnext/config/buying.py +48,All Contacts.,Všetky kontakty.
DocType: SMS Center,All Customer Contact,Vše Kontakt Zákazník
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +105,All Customer Groups,Všetky skupiny zákazníkov
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +113,All Day,Celý deň
DocType: SMS Center,All Employee (Active),Všetci zamestnanci (Aktívni)
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +20,All Item Groups,Sortiment
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py +24,All Jobs,
DocType: SMS Center,All Lead (Open),Všetky Iniciatívy (Otvorené)
apps/erpnext/erpnext/config/buying.py +86,All Products or Services.,Všetky výrobky alebo služby.
DocType: SMS Center,All Sales Partner Contact,Všetky Partneri Kontakt
DocType: SMS Center,All Sales Person,Všichni obchodní zástupci
DocType: Sales Person,All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Všetky predajní transakce mohou byť označeny proti více ** predajcom **, takže si môžete nastaviť a sledovať cíle."
apps/erpnext/erpnext/schools/doctype/student_admission/student_admission.py +23,All Student Admissions,
DocType: SMS Center,All Supplier Contact,Vše Dodávateľ Kontakt
apps/erpnext/erpnext/buying/page/purchase_analytics/purchase_analytics.js +128,All Supplier Types,Všetky typy Dodávateľe
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +102,All Territories,Všetky územia
apps/erpnext/erpnext/patches/v7_0/create_warehouse_nestedset.py +58,All Warehouses,Všetky sklady
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +375,All items have already been invoiced,Všetky položky už boli fakturovány
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +715,All items have already been transferred for this Production Order.,Všetky položky už boli prevedeny na výrobu tohoto rádu.
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py +363,All these items have already been invoiced,Všetky tyto položky už boli fakturovány
DocType: Leave Control Panel,Allocate,Prideliť
DocType: Payment Entry,Allocate Payment Amount,
apps/erpnext/erpnext/config/hr.py +75,Allocate leaves for a period.,Prideliť listy dobu.
apps/erpnext/erpnext/config/hr.py +81,Allocate leaves for the year.,Prideliť listy za rok.
DocType: Payment Entry Reference,Allocated,Přidělené
DocType: Purchase Invoice Advance,Allocated Amount,
DocType: Payment Reconciliation Payment,Allocated amount,Pridelené sumy
apps/erpnext/erpnext/accounts/utils.py +353,Allocated amount can not be negative,Pridelená částka nemôže byť záporná
apps/erpnext/erpnext/accounts/utils.py +355,Allocated amount can not greater than unadjusted amount,
apps/erpnext/erpnext/hr/doctype/leave_type/leave_type.js +3,Allocations,
DocType: POS Profile,Allow Delete,Povoliť mazánie
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,"Povoliť položky, ktoré sa pridávajú viackrát v transakcii"
DocType: Leave Type,Allow Negative Balance,Povoliť záporný zostatek
DocType: Stock Settings,Allow Negative Stock,Povoliť Negativní Sklad
DocType: Manufacturing Settings,Allow Overtime,Povoliť Nadčasy
DocType: Manufacturing Settings,Allow Production on Holidays,Povoliť Výrobu pri dovolené
DocType: Leave Block List Allow,Allow User,Umožňuje používateľi
DocType: Leave Block List,Allow Users,Povoliť používateľe
DocType: Selling Settings,Allow multiple Sales Orders against a Customer's Purchase Order,Povoliť viac Predajné objednávky proti Zákazníka Objednávky
DocType: Item,Allow over delivery or receipt upto this percent,Povolené naddodanie do tohto percenta
DocType: Leave Block List,Allow the following users to approve Leave Applications for block days.,Nechte následující používateľé schváliť Žádost o dovolenou.
DocType: Selling Settings,Allow user to edit Price List Rate in transactions,Povoliť používateľi upravovať Cenník Cena pri transakcích
DocType: POS Profile,Allow user to edit Rate,
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +567,Already completed,
DocType: Guardian,Alternate Number,
DocType: Asset,Amended From,Vychádza z
